chr,start,end,strand,symbol,length,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,RAS/CAS,PValueRAS/CAS,FDR,RAS/WT,PValueRAS/WT,FDR,P53KO/WT,PValueP53KO/WT,FDR,CAS/WT,PValueCAS/WT,FDR,Name
chr11,97488700,97491030,-,E130012A19Rik,2331,537,386,382,337,500,295,162,230,0.08,0.975771356,1,0.29,0.961004734,1,1.585985983,0.002562235,0.009260706,0.215994751,0.939575843,1,elongin BC and polycomb repressive complex 2 associated protein
chr4,59639092,59767175,+,E130308A19Rik,5044,162,156,143,135,393,244,186,174,1.14,2.39E-05,9.99E-05,-0.26,0.412893746,0.832055565,-0.335310649,0.073860439,0.172966204,-1.39513057,8.16E-07,3.09E-06,RIKEN cDNA E130308A19 gene
chr5,144062750,144077039,-,E130309D02Rik,2349,873,1120,1156,974,1486,1008,801,878,0.05,0.543751351,0.797485369,-0.44,0.023526161,0.115469481,-0.016806653,0.80203409,1,-0.490826257,0.004159035,0.009838759,RIKEN cDNA E130309D02 gene
chr11,74433106,74455018,+,E130309D14Rik,4006,12,8,4,10,32,10,6,10,2.62,0.078667463,0.160076336,1.09,0.801053792,1,0.799059308,1,1,-1.538856437,0.213270565,0.353953291,coiled-coil domain containing 92B
chr3,63718617,63733307,-,E130311K13Rik,1546,160,198,242,267,707,546,432,403,1.23,1.19E-06,6.05E-06,-0.63,0.090000317,0.312106657,-1.567026167,1.92E-09,2.26E-08,-1.860490295,1.40E-10,7.44E-10,RIKEN cDNA E130311K13 gene
chr4,45903174,45963646,+,E230008N13Rik,5119,35,26,34,36,25,21,2,0,-0.74,0.172801056,0.313913588,1.72,7.75E-05,0.000948022,3.393610019,2.97E-08,2.89E-07,2.454909637,3.50E-07,1.38E-06,coiled-coil domain containing 180
chrX,136597417,136641336,+,E230019M04Rik,1516,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,PIH1 domain containing 3B
chr18,36844576,36855579,-,E230025N22Rik,2029,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,Riken cDNA E230025N22 gene
chr2,154385374,154395588,-,E2f1,2467,281,413,1917,1555,767,399,198,184,-1.63,9.28E-13,9.46E-12,0.62,0.025840511,0.123860353,0.360360035,0.027242563,0.0736354,2.24768681,1.64E-19,1.68E-18,E2F transcription factor 1
chr4,135728308,135751971,+,E2f2,4745,248,416,626,523,384,156,97,139,-1,0.000507404,0.00169256,0.67,0.803734779,1,1.204662307,0.00173995,0.00656649,1.661558854,0.000240472,0.000689352,macrophage stimulating 1 (hepatocyte growth factor-like)
chr13,29998443,30077932,-,E2f3,5104,366,445,816,668,1061,598,310,284,0.07,0.931471511,1,0.44,0.105281656,0.348539271,0.097925505,0.568575891,0.8680662,0.374224093,0.126506505,0.223540995,E2F transcription factor 3
chr8,107821562,107829270,+,E2f4,2003,1352,1760,2233,1821,2424,1441,985,946,-0.2,0.277600685,0.467292475,-0.04,0.845281743,1,0.315398392,0.033750936,0.088549533,0.15969832,0.379644959,0.578440231,E2F transcription factor 4
chr3,14578670,14606309,+,E2f5,1757,535,435,540,450,722,537,203,335,0.1,0.385390633,0.61173952,0.49,0.442935824,0.869631541,1.256937005,0.047041341,0.117364594,0.391497159,0.935525579,1,E2F transcription factor 5
chr12,16817770,16833558,+,E2f6,2504,776,897,613,510,977,730,493,588,0.35,0.015890669,0.038988508,-0.35,0.109460502,0.358045337,0.513081788,0.108688675,0.239356088,-0.703972199,7.23E-05,0.000222193,E2F transcription factor 6
chr10,110182520,110224440,+,E2f7,5489,29,65,243,220,104,42,8,6,-1.46,1.40E-06,7.01E-06,2.26,7.69E-06,0.00012234,1.554944132,4.24E-06,2.83E-05,3.719216966,2.16E-17,1.93E-16,E2F transcription factor 7
chr7,56121798,56136411,-,E2f8,3704,166,222,2496,1980,706,435,340,166,-2.13,3.11E-12,3.00E-11,-0.28,0.639077153,1,-1.173026658,0.02397775,0.066055347,1.849453386,2.57E-13,1.70E-12,E2F transcription factor 8
chr6,40357496,40386132,-,E330009J07Rik,1959,14,3,24,12,20,10,21,59,-0.56,0.656423949,0.90951485,-1.23,0.000499753,0.004919215,-0.596750105,0.000999069,0.003995611,-0.664153256,0.003018773,0.007311755,RIKEN cDNA E330009J07 gene
chr5,96204888,96233249,+,E330014E10Rik,2122,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA E330014E10 gene
chr16,58635374,58638516,-,E330017A01Rik,681,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA E330017A01 gene
chr6,136350340,136364090,-,E330021D16Rik,1813,0,2,157,101,0,2,0,0,-6.15,1.84E-22,5.06E-21,0,0.508717263,0.945245121,0,0.508717263,0.830938234,6.153331535,3.78E-19,3.78E-18,RIKEN cDNA E330021D16 gene
chr14,25112585,25129181,+,E330034G19Rik,1499,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA E330034G19 gene
chr7,134534349,134537135,-,E430018J23Rik,2166,204,256,296,301,453,310,204,185,0.3,0.329490018,0.537848424,-0.19,0.867991843,1,-0.141028235,0.834571831,1,-0.48899786,0.25294971,0.411778598,RIKEN cDNA E430018J23 gene
chr15,59163551,59205707,-,E430025E21Rik,4047,801,1178,1506,1592,2983,1824,1126,1399,0.67,0.021786938,0.051657475,0.07,0.634330383,1,-0.631883789,0.002539504,0.009191416,-0.602567065,0.005831721,0.013488176,WASH complex subunit 5
chr17,24580723,24592256,-,E4f1,2588,862,1105,2617,1653,1539,629,421,385,-1.08,3.77E-06,1.78E-05,0.54,0.187454687,0.510541068,0.890707141,8.89E-05,0.000452564,1.613656323,4.84E-09,2.26E-08,E4F transcription factor 1
chr14,32308264,32323044,+,Eaf1,4244,1273,2009,2426,2039,4219,2850,1830,2228,0.48,0.012011604,0.030372886,-0.13,0.329795645,0.727154306,-0.664464986,0.005246134,0.017412191,-0.613720579,0.000521696,0.001421028,ELL associated factor 1
chr16,36792969,36874912,-,Eaf2,2178,46,40,88,51,91,34,28,23,-0.24,0.490224095,0.744481995,0.41,0.728754353,1,0.563669371,0.364879084,0.635571121,0.644078653,0.303569826,0.480288839,DNA methyltransferase 1-associated protein 1
chr12,55774453,55796852,-,Eapp,1049,1933,1534,2017,2094,2677,1954,1131,1086,0.09,0.786482235,1,-0.09,0.80284737,1,0.632246115,0.105915431,0.234047221,-0.187687167,0.985938205,1,E2F-associated phosphoprotein
chr14,44396430,44397304,-,Ear1,714,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"eosinophil-associated, ribonuclease A family, member 1"
chr14,44500562,44501033,-,Ear10,472,87,129,355,362,51,36,4,0,-3.07,2.56E-19,5.17E-18,2,9.80E-08,2.26E-06,3.933377063,1.60E-22,8.81E-21,5.068693271,6.17E-36,1.99E-34,"eosinophil-associated, ribonuclease A family, member 10"
chr14,44680551,44681022,+,Ear12,472,846,1087,2822,2903,1292,464,85,11,-1.43,9.43E-05,3.59E-04,2.57,6.89E-09,1.92E-07,3.142221313,2.58E-13,5.21E-12,3.998404385,2.69E-18,2.55E-17,"eosinophil-associated, ribonuclease A family, member 12"
chr14,51823369,51823831,+,Ear14,463,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"eosinophil-associated, ribonuclease A family, member 14"
chr14,44680318,44681196,+,Ear2,718,1245,1478,3719,3795,1686,598,101,22,-1.45,2.70E-06,1.30E-05,2.71,3.96E-12,1.93E-10,3.45689282,2.97E-19,1.19E-17,4.154297335,1.31E-25,2.03E-24,"eosinophil-associated, ribonuclease A family, member 2"
chr14,44680551,44681022,+,Ear3,472,846,1087,2822,2903,1292,464,85,11,-1.43,9.43E-05,3.59E-04,2.57,6.89E-09,1.92E-07,3.142221313,2.58E-13,5.21E-12,3.998404385,2.69E-18,2.55E-17,"nuclear receptor subfamily 2, group F, member 1"
chr14,51823364,51823831,+,Ear4,468,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"eosinophil-associated, ribonuclease A family, member 4"
chr14,52473442,52474317,+,Ear6,714,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"eosinophil-associated, ribonuclease A family, member 6"
chr14,52473672,52474140,+,Ear7,469,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,thyroid hormone receptor alpha
chr7,129182334,129210577,-,Ears2,1855,643,603,495,410,857,663,728,594,0.47,0.007230861,0.019216148,-1.1,0.001221696,0.010566509,-0.318922784,0.141668148,0.298140701,-1.573054317,5.89E-09,2.73E-08,"glutamyl-tRNA synthetase 2, mitochondrial"
chr15,44451186,44472572,+,Ebag9,1570,1112,1205,1813,1885,1918,1423,783,824,-0.23,0.210510156,0.370793999,-0.04,0.786750119,1,0.36494994,0.233057792,0.4452333,0.188510758,0.129714571,0.228705457,estrogen receptor-binding fragment-associated gene 9
chr11,44431635,44818674,+,Ebf1,2261,4,2,2,4,7,8,4,4,0.89,0.153806786,0.285341239,-0.6,1,1,-0.074883341,0.662590649,0.979056884,-1.496304804,0.183188874,0.309038141,early B cell factor 1
chr14,67852128,68048604,+,Ebf2,4359,0,0,0,0,2,0,0,0,0.86,0.551621342,0.797485369,0.86,1,1,0,1,1,0,1,1,early B cell factor 2
chr7,144385353,144506128,-,Ebf3,5039,2,6,61,28,16,8,0,2,-2.1,0.001020208,0.003228437,2.78,0.015302132,0.082683458,1.322315508,0.233599306,0.446121118,4.871758713,6.67E-07,2.55E-06,early B cell factor 3
chr2,130121674,130196217,+,Ebf4,2687,14,23,45,35,37,14,14,6,-0.49,0.076876228,0.156912309,0.13,0.725404379,1,-0.164738172,0.329221188,0.586875847,0.617778024,0.036445121,0.072790015,early B cell factor 1
chr17,56092045,56096445,+,Ebi3,1176,343,372,897,792,374,133,32,18,-1.54,3.48E-08,2.14E-07,2.19,2.53E-08,6.51E-07,3.227874617,2.63E-18,9.76E-17,3.731719879,2.84E-24,4.07E-23,Epstein-Barr virus induced gene 3
chr4,118293403,118300381,+,Ebna1bp2,2969,1663,1761,2609,2371,3189,2059,1438,1457,-0.02,0.819080539,1,-0.19,0.402538592,0.818818107,0.068887053,0.837028968,1,-0.161888903,0.543258465,0.78437666,EBNA1 binding protein 2
chrX,7762456,7770638,-,Ebp,1746,10995,9146,5236,6032,27338,20743,15980,12039,2.07,3.94E-13,4.18E-12,-0.56,0.408454759,0.826407129,-0.680306602,0.005172688,0.017205276,-2.631110857,1.31E-15,1.03E-14,"galactosidase, beta 1"
chr14,61958599,61979282,-,Ebpl,2081,7471,5128,3267,3326,14699,11793,7172,5143,1.85,7.66E-11,6.40E-10,-0.3,0.680982049,1,-0.081937776,0.442113657,0.743413746,-2.155552592,8.82E-10,4.40E-09,emopamil binding protein-like
chr14,21139080,21167343,-,Ecd,3139,821,1165,1492,1386,2390,1687,1407,1597,0.36,0.037961571,0.084572802,-0.57,0.00288175,0.021315043,-0.91749548,2.83E-06,1.95E-05,-0.936155605,5.20E-07,2.02E-06,"SEM1, 26S proteasome complex subunit"
chr4,137418151,137521144,+,Ece1,4836,4616,5750,4600,4379,17051,11901,10047,9794,1.58,2.46E-15,3.29E-14,-0.57,0.017040733,0.089781597,-1.26285368,4.63E-10,6.01E-09,-2.147955607,5.41E-24,7.56E-23,endothelin converting enzyme 1
chr16,20611673,20645988,+,Ece2,4135,486,520,534,612,716,564,530,416,0.11,0.833148207,1,-0.91,0.043494855,0.182800393,-0.265334467,0.478169578,0.791669231,-1.014897275,0.025793074,0.053023533,endothelin converting enzyme 2
chr1,89044229,89051602,-,Ecel1,2715,0,0,5,0,0,0,0,0,-1.88,0.156985848,0.290381336,0,1,1,0,1,1,1.877800245,0.228208321,0.376245841,endothelin converting enzyme-like 1
chr7,29610356,29617258,+,Ech1,1148,8526,8216,4683,4550,26846,20042,22856,20404,2.2,2.70E-21,6.58E-20,-1.1,0.000106554,0.001251929,-1.563443718,1.35E-12,2.49E-11,-3.307943185,3.32E-37,1.17E-35,"enoyl coenzyme A hydratase 1, peroxisomal"
chr10,29032971,29066467,+,Echdc1,3187,2636,3681,2784,2625,9928,7845,5169,4586,1.52,3.29E-15,4.34E-14,-0.39,0.536518292,0.968742531,-1.112343024,4.71E-06,3.13E-05,-1.913516656,3.04E-17,2.68E-16,enoyl Coenzyme A hydratase domain containing 1
chr4,107838041,107851913,+,Echdc2,1317,17004,17296,9799,6656,27697,14699,10434,8234,1.18,2.79E-07,1.53E-06,0.07,0.591063363,1,0.563515725,0.011628228,0.03528859,-1.111214256,3.88E-06,1.38E-05,enoyl Coenzyme A hydratase domain containing 2
chr2,6109510,6134040,-,Echdc3,1817,2702,3169,2246,2206,8664,6468,5424,5210,1.63,1.16E-15,1.62E-14,-0.66,0.015529628,0.083601705,-1.145955114,2.19E-08,2.19E-07,-2.292841739,1.81E-24,2.63E-23,enoyl Coenzyme A hydratase domain containing 3
chr7,147291621,147302322,-,Echs1,1499,12336,12800,8617,8397,24752,19355,15942,15929,1.21,3.02E-09,2.11E-08,-0.7,0.014263744,0.078236822,-0.510895705,0.003477395,0.012119053,-1.908614087,1.89E-16,1.57E-15,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial"
chr17,24563627,24576261,+,Eci1,1098,4670,3999,2395,2589,13171,9943,9769,7672,2.14,9.77E-18,1.69E-16,-0.9,0.01242856,0.070362909,-1.205424398,1.03E-07,9.17E-07,-3.049479343,6.33E-27,1.09E-25,enoyl-Coenzyme A delta isomerase 1
chr13,35069616,35086013,-,Eci2,1620,6889,6751,6042,5972,20204,15948,9898,9084,1.43,2.96E-11,2.58E-10,-0.31,0.783681009,1,-0.663690978,0.000675922,0.002832898,-1.733187738,5.09E-12,3.04E-11,enoyl-Coenzyme A delta isomerase 2
chr13,35038482,35055678,-,Eci3,1355,124,148,194,158,227,558,334,401,-0.17,0.006729244,0.018027392,-1.96,0.111351099,0.362487679,-1.560107938,0.000226645,0.001057254,-1.790279052,2.73E-05,8.83E-05,enoyl-Coenzyme A delta isomerase 3
chr3,95538070,95543492,-,Ecm1,1910,7373,8525,3467,3471,11377,6112,6678,5814,1.4,3.10E-08,1.93E-07,-0.57,0.006842147,0.043505199,0.001813269,0.783822938,1,-1.966804902,6.01E-16,4.83E-15,extracellular matrix protein 1
chr13,49600178,49628158,+,Ecm2,3606,32,19,30,39,77,34,20,18,1.12,0.260465523,0.443199498,0.63,0.303368034,0.695293205,0.53562096,0.782033381,1,-0.499407144,1,1,SPARC-like 1
chr18,35872742,35881145,-,Ecscr,1120,353,281,684,647,320,160,86,116,-1.39,1.48E-06,7.38E-06,0.57,0.599582484,1,1.888796798,6.89E-05,0.00035912,1.95782695,1.70E-07,6.88E-07,endothelial cell surface expressed chemotaxis and apoptosis regulator
chr9,21876689,21889871,-,Ecsit,1682,1634,1779,1261,1334,4377,3405,2820,2211,1.48,2.58E-11,2.26E-10,-0.7,0.095493484,0.325453668,-0.927719398,0.000121165,0.000598486,-2.182655629,2.17E-16,1.80E-15,ECSIT signalling integrator
chr3,26996143,27052800,-,Ect2,4142,133,137,2042,2122,196,96,69,70,-3.66,1.23E-33,8.69E-32,0.19,1,1,0.798738621,0.038580631,0.0992708,3.843511337,1.25E-32,3.20E-31,ect2 oncogene
chr10,17848827,17930696,-,Ect2l,2921,1,4,3,0,9,3,1,2,0.8,0.104377173,0.204473063,1.26,0.636287349,1,-0.122084899,1,1,0.465983805,0.710273674,0.96978792,epithelial cell transforming sequence 2 oncogene-like
chrX,97170944,97596099,+,Eda,5120,28,46,71,71,228,145,34,61,1.36,0.00014574,0.000537535,1.39,0.00561168,0.037028804,-0.407213399,0.077565255,0.180081572,0.030706084,0.397516232,0.602038269,ectodysplasin-A
chrX,94529179,94572548,-,Eda2r,5826,0,0,2,2,2,2,14,14,-0.21,1,1,-3.12,7.61E-07,1.50E-05,-3.758312449,1.56E-07,1.35E-06,-2.911888834,1.10E-06,4.12E-06,ectodysplasin A2 receptor
chr10,58063535,58138444,-,Edar,3692,4,0,20,20,2,0,0,0,-2.39,3.17E-07,1.73E-06,0.86,1,1,2.148973153,0.14246445,0.299572369,3.255823722,9.26E-06,3.15E-05,ectodysplasin-A receptor
chr13,12563475,12612717,-,Edaradd,8109,34,26,73,53,61,17,2,6,-0.46,0.079603459,0.161740199,3.17,0.00169784,0.01380046,3.418490588,0.000129054,0.000633814,3.633814566,3.77E-06,1.34E-05,EDAR (ectodysplasin-A receptor)-associated death domain
chr9,57556375,57597969,+,Edc3,3349,649,826,1288,1094,1406,982,747,577,-0.19,0.632510512,0.883492265,-0.42,0.448068633,0.876893897,-0.343904753,0.505950285,0.828281531,-0.235231346,0.778176173,1,enhancer of mRNA decapping 3
chr8,108404850,108417107,+,Edc4,4673,1556,1773,3066,1988,2746,1290,894,818,-0.47,0.029045599,0.066694963,0.29,0.463630149,0.895881322,0.65781233,0.002461066,0.008943732,0.757266966,0.00374833,0.008942735,enhancer of mRNA decapping 4
chr14,51736227,51737466,+,Eddm3b,1240,0,0,0,0,2,0,0,0,0.86,0.551590025,0.797485369,0.86,1,1,0,1,1,0,1,1,epididymal protein 3B
chr6,108778634,108809350,+,Edem1,5870,7958,10538,8624,8086,14646,10698,8051,9536,0.45,0.010619298,0.027173803,-0.47,0.014962763,0.081265394,-0.157752479,0.245018949,0.4636626,-0.921861856,7.31E-07,2.78E-06,"ER degradation enhancer, mannosidase alpha-like 1"
chr2,155527408,155555211,-,Edem2,2305,3287,3519,3591,3478,7351,4808,4168,3475,0.72,0.00067615,0.002200803,-0.52,0.068993741,0.256916287,-0.483398251,0.019928581,0.056301996,-1.236107465,2.24E-07,8.96E-07,dyslexia susceptibility 1 candidate 1
chr1,153602503,153669458,+,Edem3,6624,868,1347,1486,1435,2953,2195,1242,1756,0.68,0.033946738,0.076653925,-0.09,0.516037251,0.951441355,-0.657490515,0.027488804,0.074145751,-0.762280109,0.005855956,0.013542881,"ER degradation enhancer, mannosidase alpha-like 3"
chr2,25413419,25417602,+,Edf1,674,6946,5747,5379,6110,14137,9699,7538,6070,1.08,2.15E-04,7.69E-04,-0.43,0.409944235,0.828515872,-0.258864698,0.142937728,0.300404484,-1.508313298,6.84E-06,2.36E-05,endothelial differentiation-related factor 1
chr13,88961076,89462830,+,Edil3,5369,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0.358255293,0.6271829,0,1,1,EGF-like repeats and discoidin I-like domains 3
chr13,42396638,42403358,+,Edn1,2349,28,77,105,99,78,45,44,14,-0.7,0.084407889,0.170015542,-0.5,0.973216802,1,-0.819630835,0.350294326,0.616263447,0.202979506,0.079620837,0.147889087,endothelin 1
chr4,119834028,119839965,+,Edn2,1249,0,0,2,0,0,0,0,0,-1.02,0.547538499,0.797485369,0,1,1,0,1,1,1.018392408,1,1,endothelin 2
chr2,174586273,174609543,+,Edn3,2968,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,endothelin 3
chr8,80186927,80248351,-,Ednra,3651,184,265,417,358,473,208,152,178,-0.12,0.175511135,0.317842965,0.31,0.898781779,1,0.132844634,0.63164309,0.942557173,0.432776864,0.234527774,0.38546149,endothelin receptor type B
chr14,104213841,104243390,-,Ednrb,4045,647,819,592,679,722,529,281,158,-0.03,0.635843224,0.887240861,0.02,0.081769363,0.291907834,1.056765524,9.61E-07,7.24E-06,0.044894827,0.027520475,0.056290779,endothelin receptor type B
chr10,95403296,95508152,+,Eea1,7865,929,1315,1373,1141,3118,2127,1154,1698,0.87,0.000625652,0.002050796,0.1,0.628399135,1,-0.453376499,0.019756668,0.055884245,-0.768847945,0.000102712,0.000310488,early endosome antigen 1
chr7,97103163,97129486,-,Eed,2072,1278,1440,3619,3042,1828,1148,770,896,-1.3,8.22E-12,7.64E-11,-0.09,0.311489382,0.705915868,0.589641761,0.026254161,0.071353843,1.210647167,6.53E-09,3.02E-08,embryonic ectoderm development
chr9,78326260,78329531,-,Eef1a1,1797,180317,198417,253838,261721,356255,271990,146459,175303,0.17,0.38284945,0.608578743,-0.05,0.889925915,1,0.159025789,0.813230608,1,-0.227688592,0.312077754,0.492208144,eukaryotic translation elongation factor 1 alpha 2
chr2,180882396,180891720,-,Eef1a2,2054,0,0,4,0,1,0,0,0,-1.19,0.485716485,0.738843507,0.45,1,1,0,1,1,1.645107159,0.326045821,0.510929847,eukaryotic translation elongation factor 1 alpha 2
chr1,63223404,63227060,+,Eef1b2,1939,24864,22979,33772,33401,20170,14956,9728,9993,-1.06,2.25E-05,9.43E-05,-0.28,0.490088261,0.926590561,1.212767152,3.96E-05,0.000217561,0.774391424,0.000364285,0.00101462,eukaryotic translation elongation factor 1 beta 2
chr15,75725229,75739770,-,Eef1d,2857,5110,4853,6697,7121,10364,6794,3950,3477,0.32,0.400541647,0.631518852,0.06,0.397878284,0.812396004,0.230481171,0.501594838,0.822367833,-0.259852914,0.995697597,1,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
chr13,38737559,38750897,-,Eef1e1,1043,1413,1196,1375,1405,1014,742,411,419,-0.75,0.002163557,0.00642816,-0.04,0.761378505,1,1.638596526,5.93E-08,5.50E-07,0.717825075,0.000826958,0.002188647,eukaryotic translation elongation factor 1 epsilon 1
chr19,9041530,9052670,+,Eef1g,1575,5913,6045,8051,8499,7718,4827,4886,4511,-0.37,0.011645487,0.029545974,-0.68,0.003905599,0.027454965,0.134249023,0.751791251,1,-0.30089553,0.71220473,0.972196061,eukaryotic translation elongation factor 1 gamma
chr10,80639375,80645254,+,Eef2,3114,38742,52757,61265,58680,109845,77482,51079,56501,0.53,0.005485565,0.015022923,-0.23,0.278037961,0.660155519,-0.539836723,0.005399119,0.017856202,-0.758763306,0.000118675,0.000355366,eukaryotic translation elongation factor 2
chr7,127986368,128050733,+,Eef2k,6343,434,621,1419,1315,1204,874,530,412,-0.55,0.036584054,0.081900918,-0.15,0.574314685,1,-0.429693857,0.560160434,0.864402986,0.397545375,0.008461516,0.019078844,eukaryotic elongation factor-2 kinase
chr6,88207327,88396533,-,Eefsec,2686,943,1168,1093,1168,3783,2657,2054,1759,1.48,2.76E-12,2.68E-11,-0.45,0.194563236,0.524127694,-1.26315503,8.13E-09,8.66E-08,-1.931938608,2.50E-16,2.06E-15,"eukaryotic elongation factor, selenocysteine-tRNA-specific"
chr9,25289181,25411695,+,Eepd1,2681,484,520,1132,1015,3410,2204,1643,933,1.28,2.64E-07,1.46E-06,-0.28,0.684852012,1,-1.901383908,5.35E-11,7.92E-10,-1.557773908,2.15E-06,7.83E-06,endonuclease/exonuclease/phosphatase family domain containing 1
chr16,14906738,14924615,+,Efcab1,1134,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,EF hand calcium binding domain 1
chr12,34079718,34086134,+,Efcab10,679,0,0,2,0,0,0,0,0,-1.02,0.552216444,0.797485369,0,1,1,0,1,1,1.018392408,1,1,EF-hand calcium binding domain 10
chr1,180336011,180413380,+,Efcab2,2545,133,126,150,137,181,147,91,145,-0.06,0.747071164,1,-0.36,0.100817535,0.338503538,0.410912168,0.667226731,0.98453011,-0.296903747,0.048790339,0.094878042,EF-hand calcium binding domain 2
chr11,104953532,104978851,+,Efcab3,1754,16,51,6,4,54,20,0,2,2.52,4.97E-04,1.66E-03,4.41,7.28E-05,0.000895532,3.747381524,2.09E-06,1.48E-05,1.891635554,0.43002046,0.645044567,EF-hand calcium binding domain 3
chr11,76903416,77002470,-,Efcab5,4672,0,4,8,3,6,2,0,0,-0.57,0.620833462,0.870675391,1.72,0.059267368,0.229524019,0,0.289186485,0.528522641,2.290976173,0.023650903,0.04903622,EF-hand calcium binding domain 5
chr15,83697141,83895779,-,Efcab6,5144,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1.436888405,0.561713957,0.864402986,0,1,1,EF-hand calcium binding domain 6
chr4,99496190,99585388,+,Efcab7,1831,26,25,140,96,40,8,6,10,-1.91,2.43E-07,1.36E-06,1.43,0.513220555,0.9486396,1.823335536,0.019708468,0.055796866,3.334287964,6.09E-08,2.58E-07,EF-hand calcium binding domain 7
chr11,32422732,32427574,-,Efcab9,771,0,2,9,11,4,0,4,0,-0.76,0.013587922,0.033871426,-0.78,0.527289808,0.960150888,-2.225535004,0.72987989,1,-0.016371155,0.230850136,0.380196808,EF-hand calcium binding domain 9
chr11,28753204,28826743,+,Efemp1,2047,1608,1294,1502,1343,1437,600,390,415,-0.37,0.009312629,0.024098152,0.55,0.345792209,0.745149372,1.900538312,2.14E-09,2.50E-08,0.921991885,0.000450146,0.001237596,epidermal growth factor-containing fibulin-like extracellular matrix protein 1
chr19,5474689,5481854,+,Efemp2,1852,247,306,706,662,728,266,178,111,-0.25,0.029860544,0.068383824,0.7,0.035898842,0.158670425,0.326838861,0.046854766,0.116973334,0.95759599,2.78E-05,9.01E-05,epidermal growth factor-containing fibulin-like extracellular matrix protein 2
chr17,53538213,53602646,-,Efhb,2674,0,5,2,6,4,0,0,0,0.89,0.370567717,0.59250043,1.44,0.336508971,0.734937363,0,0.215562956,0.417786931,0.558440255,0.100920522,0.18277688,"EF hand domain family, member B"
chr1,20941706,20980922,+,Efhc1,2219,2,6,51,54,15,9,4,8,-1.86,1.10E-06,5.57E-06,0.49,1,1,-0.846683929,0.321336546,0.575372655,2.351293469,1.88E-05,6.22E-05,EF-hand domain (C-terminal) containing 1
chrX,16709174,16896494,-,Efhc2,2569,0,2,8,9,0,0,0,0,-2.1,0.000280154,0.000980833,0,1,1,0,0.515525524,0.836222334,2.096382237,0.001491148,0.0038044,EF-hand domain (C-terminal) containing 2
chr1,89160938,89207366,+,Efhd1,1809,4,8,24,26,28,15,10,34,0,0.537816224,0.797485369,0.21,0.071078471,0.262910022,-1.220621357,0.001063593,0.00422456,0.210553533,0.227089899,0.374774127,EF hand domain containing 1
chr4,141414056,141430835,-,Efhd2,2385,6459,8497,14780,15162,11691,5770,1864,1629,-0.65,9.25E-06,4.13E-05,1.31,7.08E-09,1.96E-07,1.65118603,2.66E-16,7.83E-15,1.965168857,3.84E-23,5.01E-22,EF hand domain containing 2
chr3,89075651,89084873,-,Efna1,1648,1772,2250,2651,2006,9233,6514,2998,4106,1.48,1.64E-15,2.26E-14,0.29,0.489386957,0.926017984,-0.89909704,6.38E-08,5.88E-07,-1.197153087,2.73E-13,1.80E-12,ephrin A1
chr10,79642226,79652755,+,Efna2,2135,6,12,8,8,18,9,6,12,0.8,0.442853582,0.685442374,0.28,0.518578154,0.953310892,-0.128753627,0.713483412,1,-0.519436649,0.127831618,0.225659461,ephrin A2
chr3,89118872,89126801,-,Efna3,1230,82,112,67,35,563,332,171,150,2.66,7.82E-24,2.46E-22,0.38,0.101788425,0.340766702,-1.192611881,0.000309229,0.001401421,-2.282080859,3.28E-17,2.89E-16,ephrin A3
chr3,89137314,89141950,-,Efna4,1600,6,3,32,32,19,11,12,4,-0.93,0.058507586,0.12398252,-0.62,0.922335326,1,-0.985020009,0.197555319,0.389116503,0.310901253,0.133171847,0.233984556,ephrin A4
chr17,62952305,63230666,-,Efna5,5264,122,206,154,146,527,384,277,287,1.45,1.32E-07,7.57E-07,-0.41,0.257932166,0.631981397,-1.320560511,0.000110078,0.000548501,-1.860856182,3.46E-10,1.78E-09,ephrin A5
chrX,96331468,96344330,+,Efnb1,3263,406,551,445,427,1282,842,800,805,1.21,2.24E-08,1.41E-07,-0.65,0.002564886,0.0193344,-1.117779892,4.99E-07,3.96E-06,-1.865557113,4.68E-17,4.07E-16,ephrin B1
